DATE,GDP
2010-01-01,
2010-04-01,1.4601333865235766
2010-07-01,1.077516157502112
2010-10-01,1.108647186523859
2011-01-01,0.274170098855131
2011-04-01,1.3424857381531652
2011-07-01,0.5794039789969396
2011-10-01,1.2435006339597932
2012-01-01,1.4300107074376234
2012-04-01,0.8607360659364405
2012-07-01,0.6936829904643727
2012-10-01,0.6181423852545942
2013-01-01,1.3871144213798425
2013-04-01,0.48352406378857626
2013-07-01,1.3458976188627236
2013-10-01,1.4048795322923358
2014-01-01,0.03326543554891259
2014-04-01,1.8651871542641363
2014-07-01,1.6309608101328976
2014-10-01,0.605760609221595
2015-01-01,0.8455188255924728
2015-04-01,1.1971913129488865
2015-07-01,0.6665396046255267
2015-10-01,0.1821089071150528
2016-01-01,0.49251600354258684
2016-04-01,1.002751116502476
2016-07-01,0.9669724325451323
2016-10-01,1.0413579595735856
2017-01-01,0.9990110207356517
2017-04-01,0.8223978692209144
2017-07-01,1.3064286431928362
2017-10-01,1.7493529928381601
2018-01-01,1.4546275386922547
2018-04-01,1.241401687567234
2018-07-01,1.0583496008340187
2018-10-01,0.5728090128579888
2019-01-01,0.8904636404849731
2019-04-01,1.3297963958055048
2019-07-01,1.4473240892176609
2019-10-01,0.9592758128616596
2020-01-01,-0.8943179260345602
